Product ID,"Image URLs (x,y,z...)",Name *,Kategoria,index #,Price tax excluded,Price tax included,Quantity,Active (0/1)
1,http://localhost/img/p/Kamil Lanek - EXTRAVAGANZA (standard).jpg,Kamil Lanek - EXTRAVAGANZA (standard),muzyka,demo_1,"44,99 zł","44,99 zł",175,1
2,http://localhost/img/p/Jan-rapowanie - BUFOR (standard).jpg,Jan-rapowanie - BUFOR (standard),muzyka,demo_2,"44,99 zł","44,99 zł",290,1
3,http://localhost/img/p/Kacperczyk - Kryzys Wieku Wczesnego.jpg,Kacperczyk - Kryzys Wieku Wczesnego,muzyka,demo_3,"179,99 zł","179,99 zł",919,1
4,http://localhost/img/p/WALCZUK BOX.jpg,WALCZUK BOX,muzyka,demo_4,"129,99 zł","129,99 zł",74,1
5,http://localhost/img/p/Janusz Walczuk - Jan Walczuk (deluxe) .jpg,Janusz Walczuk - Jan Walczuk (deluxe) ,muzyka,demo_5,"49,99 zł","49,99 zł",699,1
6,http://localhost/img/p/Beteo - ''Palma na blokach'' (deluxe).jpg,Beteo - ''Palma na blokach'' (deluxe),muzyka,demo_6,"59,99 zł","59,99 zł",342,1
7,http://localhost/img/p/Mata - Młody Matczak (2LP Deluxe).jpg,Mata - Młody Matczak (2LP Deluxe),muzyka,demo_7,"179,99 zł","179,99 zł",242,1
8,http://localhost/img/p/White 2115 - Pretty Boy (standard).jpg,White 2115 - Pretty Boy (standard),muzyka,demo_8,"44,99 zł","44,99 zł",940,1
9,http://localhost/img/p/Kinny Zimmer - ''LETNISKO'' (standard).jpg,Kinny Zimmer - ''LETNISKO'' (standard),muzyka,demo_9,"44,99 zł","44,99 zł",520,1
10,http://localhost/img/p/Bedoes & Lanek - Rewolucja Romantyczna (2LP).jpg,Bedoes & Lanek - Rewolucja Romantyczna (2LP),muzyka,demo_10,"119,99 zł","119,99 zł",586,1
11,http://localhost/img/p/Fukaj & Kubi Producent - Chaos (standard).jpg,Fukaj & Kubi Producent - Chaos (standard),muzyka,demo_11,"44,99 zł","44,99 zł",973,1
12,http://localhost/img/p/Kacperczyk - Kryzys Wieku Wczesnego (standard).jpg,Kacperczyk - Kryzys Wieku Wczesnego (standard),muzyka,demo_12,"44,99 zł","44,99 zł",655,1
13,http://localhost/img/p/SB Maffija - Hotel Maffija 2 (wersja standard).jpg,SB Maffija - Hotel Maffija 2 (wersja standard),muzyka,demo_13,"44,99 zł","44,99 zł",921,1
14,http://localhost/img/p/Bedoes & Lanek - Rewolucja Romantyczna (standard).jpg,Bedoes & Lanek - Rewolucja Romantyczna (standard),muzyka,demo_14,"44,99 zł","44,99 zł",695,1
15,http://localhost/img/p/Adi Nowak - Ognisko Niedomowe (Standard).jpg,Adi Nowak - Ognisko Niedomowe (Standard),muzyka,demo_15,"44,99 zł","44,99 zł",905,1
16,http://localhost/img/p/Adi Nowak - Vafle Ryżowe.jpg,Adi Nowak - Vafle Ryżowe,muzyka,demo_16,"34,99 zł","34,99 zł",161,1
17,http://localhost/img/p/ADM - Hellboy - CD.jpg,ADM - Hellboy - CD,muzyka,demo_17,"29,99 zł","29,99 zł",980,1
18,http://localhost/img/p/Bedoes & Kubi Producent - Aby śmierć miała znaczenie (Reedycja).jpg,Bedoes & Kubi Producent - Aby śmierć miała znaczenie (Reedycja),muzyka,demo_18,"44,99 zł","44,99 zł",224,1
19,http://localhost/img/p/Bedoes & Kubi Producent - Kwiat polskiej młodzieży.jpg,Bedoes & Kubi Producent - Kwiat polskiej młodzieży,muzyka,demo_19,"44,99 zł","44,99 zł",825,1
20,http://localhost/img/p/Bedoes & Lanek - Opowieści z doliny smoków (Standard).jpg,Bedoes & Lanek - Opowieści z doliny smoków (Standard),muzyka,demo_20,"44,99 zł","44,99 zł",355,1
21,http://localhost/img/p/Beteo - Hoodie.jpg,Beteo - Hoodie,muzyka,demo_21,"44,99 zł","44,99 zł",127,1
22,http://localhost/img/p/Beteo - Nowy Pop.jpg,Beteo - Nowy Pop,muzyka,demo_22,"44,99 zł","44,99 zł",832,1
23,http://localhost/img/p/Białas - H8M4.jpg,Białas - H8M4,muzyka,demo_23,"34,99 zł","34,99 zł",524,1
24,http://localhost/img/p/Białas - H8M5 (standard).jpg,Białas - H8M5 (standard),muzyka,demo_24,"44,99 zł","44,99 zł",509,1
25,http://localhost/img/p/Białas – REHAB.jpg,Białas – REHAB,muzyka,demo_25,"35,99 zł","35,99 zł",288,1
26,http://localhost/img/p/Białas & Lanek - HYPER2000 (standard).jpg,Białas & Lanek - HYPER2000 (standard),muzyka,demo_26,"34,99 zł","34,99 zł",213,1
